lng,lat
-29.63263846,119.644202
-29.632441,119.6545319
-29.63226326,119.6647384
-29.62343565,119.6542441
-29.62365044,119.6439465
-29.62391013,119.633619
-29.62398911,119.6232661
-29.63331739,119.6131519
-29.63331739,119.6131519
-29.66047711,119.6035468
-29.66029187,119.6138698
-29.66008758,119.6242026
-29.65986426,119.6345451
-29.65969323,119.6426788
-29.6506161,119.6446308
-29.65085019,119.6342379
-29.65101852,119.6239362
-29.65129465,119.6136165
-29.65145155,119.6033556
-29.6416933,119.6532982
-29.64165413,119.6444274
-29.64181128,119.6351796
-29.64203613,119.6238477
-29.6423044,119.6134667
-29.64250875,119.6030841
-29.51367302,119.7235711
-29.51347588,119.73361
-29.51373952,119.740516
-29.50433635,119.743789
-29.50447449,119.7335845
-29.50467812,119.723227
-29.49450595,119.7480913
-29.49534764,119.7435878
-29.67908533,119.5731197
-29.6789302,119.5834042
-29.67870133,119.5937282
-29.67850812,119.6040322
-29.67835879,119.614358
-29.67778719,119.6250137
-29.67784258,119.6349418
-29.6688816,119.6346873
-29.66915806,119.6243969
-29.66927022,119.6141641
-29.66951045,119.6038003
-29.66972101,119.5935285
-29.6698332,119.5831716
-29.67010748,119.5727877
-29.57837875,119.6529502
-29.56936306,119.6527247
-29.56905343,119.6632309
-29.57812624,119.663304
-29.58712298,119.6635714
-29.59614841,119.663757
-29.60513715,119.6639728
-29.61421457,119.6642632
-29.62318483,119.6644993
-29.61433931,119.6539952
-29.60534294,119.6537078
-29.60534294,119.6537078
-29.59628979,119.6535532
-29.58737268,119.653361
-29.57674774,119.7254185
-29.56795296,119.7249964
-29.55883024,119.7247308
-29.54985175,119.7244691
-29.54959279,119.7348709
-29.5586184,119.7350316
-29.56779364,119.7353719
-29.57656682,119.735526
-29.46170845,119.7511948
-29.45013815,119.7545719
-29.44184395,119.7539356
-29.4317689,119.7521797
-29.44159897,119.7430882
-29.44660495,119.7426561
-29.44767255,119.7381195
-29.45912562,119.7364792
-29.46351579,119.742297
-29.47469027,119.74367
-29.47711214,119.7534871
-29.48952931,119.7466681
-29.4909153,119.7498707
-30.06700488,119.9977318
-29.49570686,119.7230487
-29.48679807,119.7229031
-29.47757985,119.7224503
-29.46866096,119.7223561
-29.46006418,119.7131181
-29.45241622,119.7055353
-29.45080188,119.7095118
-29.44311482,119.7215397
-29.44939379,119.7214909
-29.4595154,119.7298006
-29.46741731,119.7328573
-29.47706649,119.7342811
-29.48669549,119.7375605
-29.49051973,119.7384469
-29.95054774,120.036808
-29.95067256,120.0471812
-29.95093083,120.0575092
-29.95123336,120.0678359
-29.95140959,120.0781976
-29.96041858,120.0777578
-29.96012785,120.0675229
-29.96002629,120.0573136
-29.95991052,120.046908
-29.95946878,120.0364811
-29.95946878,120.0364811
-29.98579746,120.0047749
-29.99490531,120.0043458
-29.99489383,120.0145514
-29.99529577,120.0251281
-29.98634047,120.02553
-29.9861836,120.0150195
-30.00417196,120.0144703
-30.00438226,120.024546
-30.01330207,120.0245697
-30.01320371,120.0142618
-29.99509785,120.0355362
-29.9954209,120.0458875
-29.99560907,120.0558906
-29.99588061,120.0664301
-29.98741371,120.0665031
-29.98697427,120.0565186
-29.98692783,120.0463982
-29.98683641,120.0359166
-29.96880274,120.0360692
-29.96881699,120.0459297
-29.96954811,120.0572296
-29.96966201,120.0671806
-29.96977795,120.0768519
-29.97814605,120.0666618
-29.55918905,119.7040961
-29.55023661,119.7038782
-29.55006229,119.7141896
-29.55904149,119.7144195
-29.56805738,119.7146194
-29.57706213,119.7149224
-29.58569929,119.7357518
-29.59536683,119.7336494
-29.86073275,119.9498443
-29.85131042,119.960213
-29.86049461,119.9604739
-29.8603244,119.95036
-29.86078707,119.9401405
-29.85183681,119.9398986
-29.87886368,119.950906
-29.86961543,119.9502817
-29.86932846,119.9606728
-29.87812113,119.9610983
-29.88810986,119.9508163
-29.88770968,119.9614233
-29.8873552,119.9715658
-29.93305968,119.9624351
-29.93276274,119.9527657
-29.94147226,119.9524743
-29.9389136,119.9631989
-29.93217906,119.9834695
-29.87804271,119.9722001
-29.87797712,119.9810979
-29.92390469,119.9520381
-29.91474756,119.951778
-29.90571635,119.9515322
-29.90548519,119.9618355
-29.91452533,119.9620825
-29.91428263,119.9724588
-29.92318445,119.9728374
-29.89623025,119.9719328
-29.89623025,119.9719328
-29.89671264,119.9512666
-29.89585049,119.961157
-29.89600517,119.9822972
-29.9230428,119.9830932
-29.92280764,119.9934601
-29.93183636,119.993803
-29.95884817,119.99453
-29.94980866,119.9946628
-29.94083279,119.9939794
-29.88699268,119.9820287
-29.95013018,119.961709
-29.95188935,119.9520469
-29.95978365,119.9531193
-29.44535716,119.7641605
-29.44851658,119.7605671
-29.45730056,119.7619388
-29.46798808,119.7676297
-29.46888044,119.7585421
-29.47656346,119.7547196
-29.4739984,119.7631441
-29.48268186,119.7741012
-29.48530294,119.7837705
-29.48046581,119.769639
-29.80608535,119.9692824
-29.80588054,119.9795761
-29.81509713,119.9695902
-29.81490147,119.9798748
-29.82386809,119.9801823
-29.82365376,119.9904568
-29.82407539,119.9697834
-29.83308761,119.9700709
-29.83289016,119.9804296
-29.83270946,119.9908095
-29.85090582,119.9809858
-29.85071711,119.9913155
-29.85972103,119.9915635
-29.85995489,119.9812342
-29.84170533,119.9910156
-29.84168801,120.0090159
-29.84193047,120.0193328
-29.85095181,120.0190543
-29.85071781,120.0087155
-29.84191268,119.9806563
-29.86871522,120.0081576
-29.86943382,120.0391999
-29.86943382,120.0391999
-29.86922876,120.0288789
-29.86895841,120.0184979
-29.85970347,120.0084577
-29.85995606,120.0188175
-29.86873371,119.9918223
-29.87774615,119.9920915
-29.87799013,120.0182808
-29.92399148,120.0582922
-29.93299546,120.0580375
-29.93987981,120.0569649
-29.94224757,120.0680998
-29.9423193,120.0782253
-29.93320793,120.0683754
-29.92418652,120.0686607
-29.9152007,120.0689242
-29.9061788,120.0691886
-29.90592059,120.0588134
-29.97800018,120.0568974
-29.97821329,120.0462834
-29.97749074,120.0366087
-30.01306404,120.0033646
-30.0046446,120.0047162
-30.01357979,120.0436806
-30.01290207,120.0348096
