lng,lat
-32.12503383,115.8651732
-32.1253765,115.8647988
-32.12585667,115.8644692
-32.12637283,115.8644105
-32.126731,115.864307
-32.126918,115.8638912
-32.12697433,115.8632642
-32.12709383,115.862454
-32.12722933,115.8615053
-32.12737817,115.860599
-32.12752933,115.8597498
-32.12766883,115.8591122
-32.12775,115.8588585
-32.12778267,115.85885
-32.12777,115.8588612
-32.1277565,115.8588598
-32.12774917,115.8588713
-32.1277485,115.8588748
-32.12774683,115.8588767
-32.12774683,115.8588825
-32.12774983,115.8588657
-32.12775567,115.8586033
-32.12769233,115.8584758
-32.12733417,115.8584113
-32.12668617,115.8582335
-32.12583217,115.8578675
-32.12485983,115.8574222
-32.123814,115.8568782
-32.12273017,115.8563123
-32.1215875,115.8557812
-32.12043083,115.8552613
-32.119257,115.8547822
-32.11810467,115.8543145
-32.1169365,115.8538605
-32.11575883,115.8534053
-32.11458533,115.8529557
-32.11341117,115.8525102
-32.11222567,115.852103
-32.11103683,115.8517117
-32.10984483,115.8513473
-32.10863733,115.8510218
-32.10743583,115.8507322
-32.10622317,115.8504495
-32.1050045,115.850188
-32.103787,115.8499638
-32.10256667,115.8497538
-32.10134883,115.8495657
-32.10012883,115.8494057
-32.098898,115.8493047
-32.097666,115.8492477
-32.09643333,115.8491995
-32.09520483,115.8491335
-32.093999,115.849097
-32.09276317,115.8490842
-32.09152833,115.8490708
-32.09029667,115.8490683
-32.08908483,115.8490487
-32.0878625,115.8490382
-32.08663017,115.8490197
-32.08538817,115.8490095
-32.0841585,115.8490153
-32.08292983,115.8490515
-32.0817025,115.8491112
-32.08047033,115.8491895
-32.079234,115.8492777
-32.07798983,115.8493897
-32.0767585,115.849507
-32.0755115,115.8496182
-32.07427133,115.8497172
-32.07304167,115.849811
-32.07180767,115.849876
-32.070586,115.8499165
-32.06947417,115.8499687
-32.068432,115.8500898
-32.06739083,115.8502567
-32.06638983,115.8503567
-32.06549233,115.8502137
-32.0648325,115.849572
-32.06458417,115.8489028
-32.06492267,115.8487622
-32.06545733,115.8487527
-32.065618,115.848737
-32.0656235,115.8487278
-32.06564283,115.8486242
-32.065852,115.848156
-32.06591283,115.8473987
-32.0659195,115.8464852
-32.065921,115.8455433
-32.06593233,115.8446158
-32.06589117,115.8437175
-32.06581967,115.8429682
-32.06565583,115.8424357
-32.0655775,115.842177
-32.06576467,115.8420255
-32.06622467,115.8418417
-32.06687483,115.841867
-32.06766467,115.8420938
-32.06843317,115.8423807
-32.0692095,115.8426465
-32.06993783,115.842925
-32.07064917,115.8431772
-32.07133983,115.8433137
-32.07208067,115.8433537
-32.07281567,115.8433577
-32.07342083,115.8432102
-32.07405783,115.8430072
-32.0748105,115.8427945
-32.07563317,115.842698
-32.07635017,115.8427077
-32.07675617,115.8429938
-32.07683417,115.8433738
-32.07684667,115.8434917
-32.07673033,115.8433943
-32.07653317,115.8434757
-32.076372,115.8434435
-32.07644067,115.8433683
-32.0764865,115.8433928
-32.076504,115.843401
-32.07651933,115.8434055
-32.07652,115.8434047
-32.076511,115.8434057
-32.07650217,115.8434015
-32.07648933,115.8434038
-32.076478,115.843433
-32.07647383,115.8434408
-32.07647417,115.8434418
-32.0764805,115.8434407
-32.07648317,115.8434437
-32.076487,115.8434307
-32.07648467,115.8433878
-32.07647917,115.8433555
-32.07647883,115.843354
-32.076478,115.8433485
-32.07648967,115.8434258
-32.07659917,115.8434548
-32.07675417,115.8432243
-32.0768105,115.8428103
-32.07682617,115.842607
-32.07677483,115.8425987
-32.076428,115.8427012
-32.07590283,115.8428562
-32.07521833,115.8430547
-32.07446617,115.8432218
-32.07377783,115.8432405
-32.0733005,115.8432965
-32.072817,115.843263
-32.07218,115.8431412
-32.07147583,115.8429217
-32.07076467,115.8426057
-32.06998483,115.8422835
-32.0691605,115.8419667
-32.06831267,115.841789
-32.06750733,115.84181
-32.06667833,115.8420262
-32.0659585,115.8421662
-32.06557517,115.8421753
-32.06556067,115.8421885
-32.06556933,115.8421993
-32.0655675,115.842197
-32.06557,115.8421967
-32.06557283,115.842256
-32.06543283,115.8426028
-32.06534067,115.8431778
-32.065505,115.8439533
-32.065674,115.844859
-32.06580583,115.8458417
-32.06585933,115.846838
-32.06583067,115.847848
-32.06581133,115.8488167
-32.06581,115.8497485
-32.065797,115.8505397
-32.06579317,115.8511977
-32.06579567,115.8519942
-32.06579483,115.8529125
-32.06578083,115.8538262
-32.06578917,115.8547702
-32.0658095,115.8556482
-32.0658175,115.8561547
-32.0658225,115.8562077
-32.06583633,115.8562175
-32.065847,115.8563052
-32.06584217,115.8564098
-32.06601633,115.8563638
-32.0663275,115.8562535
-32.066419,115.8560843
-32.06637217,115.8558157
-32.06638283,115.8556195
-32.06638967,115.8555208
-32.0663855,115.8555372
-32.0663755,115.8555655
-32.0663645,115.8555752
-32.06634017,115.8555717
-32.0663295,115.8555678
-32.06632683,115.8555732
-32.0663245,115.8555625
-32.06633283,115.855584
-32.06633883,115.8556892
-32.06635183,115.8558185
-32.066365,115.8559543
-32.06637717,115.85607
-32.066333,115.8561743
-32.066342,115.856257
-32.06639967,115.8563465
-32.06646483,115.8563557
-32.066469,115.8563627
-32.06646683,115.8563923
-32.066342,115.8564065
-32.06608033,115.8563987
-32.06600233,115.8564122
-32.06601017,115.8564427
-32.06590767,115.8566745
-32.0657585,115.857171
-32.06571767,115.8576562
-32.06569733,115.8577875
-32.06552017,115.8578943
-32.06539367,115.857952
-32.06538467,115.8579647
-32.06538017,115.85796
-32.06539767,115.8579563
-32.0654075,115.8579503
-32.0654065,115.8579397
-32.06541017,115.8579703
-32.06537833,115.857935
-32.06539917,115.8579337
-32.06540033,115.857919
-32.06542067,115.8578565
-32.06544667,115.8577965
-32.065453,115.8578193
-32.06542783,115.8578162
-32.06530533,115.8578113
-32.06516533,115.8580118
-32.06512767,115.8583735
-32.06504983,115.8586053
-32.064999,115.8587635
-32.06509533,115.8588497
-32.0653995,115.8589858
-32.06561,115.8590198
-32.065586,115.8590207
-32.06556583,115.8590213
-32.065556,115.8590835
-32.0656045,115.8594892
-32.06567817,115.8601877
-32.0656895,115.861082
-32.06569617,115.8620533
-32.06568933,115.863057
-32.06567633,115.8640797
-32.0656695,115.8651085
-32.06566067,115.8661692
-32.0656645,115.8672568
-32.06570883,115.8683398
-32.06579333,115.869419
-32.065944,115.8703632
-32.066079,115.8712843
-32.06621467,115.8722342
-32.06633533,115.8732407
-32.06643417,115.8742458
-32.0665305,115.8752803
-32.06662483,115.8763365
-32.06672767,115.8773848
-32.06683717,115.8784302
-32.066942,115.8794308
-32.0669785,115.8804948
-32.06694733,115.8815288
-32.06679717,115.882543
-32.0666105,115.8835858
-32.066461,115.8846253
-32.066468,115.8856195
-32.06661,115.886526
-32.0668955,115.8872222
-32.06715933,115.887605
-32.06721683,115.887926
-32.066889,115.8884103
-32.06639017,115.8889873
-32.0657515,115.889399
-32.06497817,115.8895497
-32.064118,115.8895587
-32.0632575,115.8895487
-32.06237383,115.8895378
-32.06150283,115.8895252
-32.06067667,115.889513
